,paramId,dataType,numberOfPoints,typeOfLevel,stepUnits,stepType,gridType,shortName,units,name,cfVarName,missingValue,totalNumber,NV,gridDefinitionDescription
lcc,186,fc,1038240,surface,1,instant,regular_ll,lcc,(0 - 1),Low cloud cover,lcc,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
lsp,142,fc,1038240,surface,1,instant,regular_ll,lsp,m,Large-scale precipitation,lsp,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
msl,151,fc,1038240,surface,1,instant,regular_ll,msl,Pa,Mean sea level pressure,msl,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
nsss,181,fc,1038240,surface,1,instant,regular_ll,nsss,N m**-2 s,Time-integrated northward turbulent surface stress,nsss,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
ro,205,fc,1038240,surface,1,instant,regular_ll,ro,m,Runoff,ro,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
sd,141,fc,1038240,surface,1,instant,regular_ll,sd,m of water equivalent,Snow depth,sd,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
sf,144,fc,1038240,surface,1,instant,regular_ll,sf,m of water equivalent,Snowfall,sf,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
skt,235,fc,1038240,surface,1,instant,regular_ll,skt,K,Skin temperature,skt,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
slhf,147,fc,1038240,surface,1,instant,regular_ll,slhf,J m**-2,Surface latent heat flux,slhf,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
sro,8,fc,1038240,surface,1,instant,regular_ll,sro,m,Surface runoff,sro,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
sshf,146,fc,1038240,surface,1,instant,regular_ll,sshf,J m**-2,Surface sensible heat flux,sshf,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
ssr,176,fc,1038240,surface,1,instant,regular_ll,ssr,J m**-2,Surface net short-wave (solar) radiation,ssr,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
ssrd,169,fc,1038240,surface,1,instant,regular_ll,ssrd,J m**-2,Surface short-wave (solar) radiation downwards,ssrd,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
ssro,9,fc,1038240,surface,1,instant,regular_ll,ssro,m,Sub-surface runoff,ssro,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
sst,34,fc,1038240,surface,1,instant,regular_ll,sst,K,Sea surface temperature,sst,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
stl1,139,fc,1038240,depthBelowLandLayer,1,instant,regular_ll,stl1,K,Soil temperature level 1,stl1,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
stl2,170,fc,1038240,depthBelowLandLayer,1,instant,regular_ll,stl2,K,Soil temperature level 2,stl2,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
stl3,183,fc,1038240,depthBelowLandLayer,1,instant,regular_ll,stl3,K,Soil temperature level 3,stl3,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
stl4,236,fc,1038240,depthBelowLandLayer,1,instant,regular_ll,stl4,K,Soil temperature level 4,stl4,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
str,177,fc,1038240,surface,1,instant,regular_ll,str,J m**-2,Surface net long-wave (thermal) radiation,str,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
strd,175,fc,1038240,surface,1,instant,regular_ll,strd,J m**-2,Surface long-wave (thermal) radiation downwards,strd,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
sund,189,fc,1038240,surface,1,instant,regular_ll,sund,s,Sunshine duration,sund,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
swvl1,39,fc,1038240,depthBelowLandLayer,1,instant,regular_ll,swvl1,m**3 m**-3,Volumetric soil water layer 1,swvl1,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
swvl2,40,fc,1038240,depthBelowLandLayer,1,instant,regular_ll,swvl2,m**3 m**-3,Volumetric soil water layer 2,swvl2,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
swvl3,41,fc,1038240,depthBelowLandLayer,1,instant,regular_ll,swvl3,m**3 m**-3,Volumetric soil water layer 3,swvl3,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
swvl4,42,fc,1038240,depthBelowLandLayer,1,instant,regular_ll,swvl4,m**3 m**-3,Volumetric soil water layer 4,swvl4,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
tcc,164,fc,1038240,surface,1,instant,regular_ll,tcc,(0 - 1),Total cloud cover,tcc,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
tciw,79,fc,1038240,surface,1,instant,regular_ll,tciw,kg m**-2,Total column cloud ice water,tciw,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
tclw,78,fc,1038240,surface,1,instant,regular_ll,tclw,kg m**-2,Total column cloud liquid water,tclw,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
tcwv,137,fc,1038240,surface,1,instant,regular_ll,tcwv,kg m**-2,Total column vertically-integrated water vapour,tcwv,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
tisr,212,fc,1038240,surface,1,instant,regular_ll,tisr,J m**-2,TOA incident short-wave (solar) radiation,tisr,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
tp,228,fc,1038240,surface,1,instant,regular_ll,tp,m,Total precipitation,tp,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
tsr,178,fc,1038240,surface,1,instant,regular_ll,tsr,J m**-2,Top net short-wave (solar) radiation,tsr,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
ttr,179,fc,1038240,surface,1,instant,regular_ll,ttr,J m**-2,Top net long-wave (thermal) radiation,ttr,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
